Fecha,BMV CIERRE,BMV APERTURA,BMV VOL,NASDAQ CIERRRE,NASDAQ APERTURA,NASDAQ VOL,S&P 500 CIERRE,RUSELL 2000 CIERRE,RUSELL 2000 APERTURA,DOLAR CIERRE,DOLAR APERTURA,EURO CIERRE,EURO APERTURA,TITULAR MUNDIAL,UBICACIÓN,LINK MUNDIAL,CASOS COVID MUNDO,CONFIRMADOS MUNDO,CONFIRMADOS MEXICO,CONFIRMADOS USA,NUEVOS CASOS WW
02/09/2019,35.81,33.795,199.80K,null,null,null,null,null,null,20.1477,20.0628,22.0981,22.0583,Top Opposition Activists Are Arrested in Moscow After Wave of Protests,"MOSCOW,RUSSIA",https://www.nytimes.com/2019/09/02/world/europe/russia-moscow-opposition-lyubov-sobol.html?searchResultPosition=1,0,0,0,0,0
03/09/2019,35.9,37.05,802.90K,"7,874.16","7,906.44",512.49M,"2,906.27","1,472.28","1,494.03",19.9732,20.1433,21.9185,22.0932,Saudi Arabia’s Crown Prince Had Been Lying Low. That’s Over.,MIDDLE EAST,https://www.nytimes.com/2020/03/09/world/middleeast/saudi-prince-mohammed-oil-price.html?searchResultPosition=1,0,0,0,0,0
04/09/2019,36.25,36.5,1.05M,"7,976.88","7,949.81",509.99M,"2,937.78","1,484.76","1,475.36",19.7186,19.9732,21.7614,21.9234,‘The Poison of a “No Deal’”: Boris Johnson Clashes With Parliament,EUROPE,https://www.nytimes.com/video/world/europe/100000006698463/the-poison-of-a-no-deal-boris-johnson-clashes-with-parliament.html?searchResultPosition=1,0,0,0,0,0
05/09/2019,37.07,39.52,1.10M,"8,116.83","8,061.29",542.83M,"2,976.00","1,510.75","1,491.27",19.7442,19.7232,21.7877,21.7602,Brazilian Leather Out of Fashion? H&M Stops Buying Over Amazon Fires,AMERICAS,https://www.nytimes.com/2019/09/05/world/americas/h-m-leather-brazil-amazon-fires.html?searchResultPosition=1,0,0,0,0,0
06/09/2019,37.13,38.5,2.41M,"8,103.07","8,125.58",478.40M,"2,978.71","1,505.17","1,511.51",19.5373,19.7473,21.5478,21.7883,Britain’s Parliamentary Chaos: Can It Happen in Canada?,CANADA,https://www.nytimes.com/search?dropmab=false&endDate=20190906&query=&sections=World%7Cnyt%3A%2F%2Fsection%2F70e865b6-cc70-5181-84c9-8368b3a5c34b&sort=best&startDate=20190906,0,0,0,0,0
09/09/2019,37.22,38.02,305.82K,"8,087.44","8,130.91",573.75M,"2,978.43","1,524.23","1,507.53",19.5742,19.5654,21.6256,21.5443,"For Boris Johnson, Another Bad Day and Another Big Defeat in Parliament",EUROPE,https://www.nytimes.com/2019/09/09/world/europe/brexit-johnson-parliament.html?searchResultPosition=1,0,0,0,0,0
10/09/2019,37.24,41.99,504.17K,"8,084.15","8,049.98",609.35M,"2,979.39","1,542.99","1,523.57",19.498,19.5773,21.5326,21.626,"Jan Ruff-O’Herne, Who Told of Wartime Rape by the Japanese, Dies at 96",AUSTRALIA,https://www.nytimes.com/2019/09/10/world/australia/jan-ruff-oherne-dead.html?searchResultPosition=1,0,0,0,0,0
11/09/2019,37.43,41.07,634.43K,"8,169.68","8,091.68",595.76M,"3,000.93","1,575.71","1,543.87",19.509,19.499,21.4794,21.5313,Horrid Conditions in Syria Camp Where ISIS Families Fled Risk Fostering Extremism,MIDDLE EAST,https://www.nytimes.com/2019/09/11/world/middleeast/syria-camp-isis-families-islamic-state-extremism.html?searchResultPosition=1,0,0,0,0,0
12/09/2019,37.61,40.63,490.01K,"8,194.47","8,206.58",557.77M,"3,009.57","1,575.07","1,575.80",19.437,19.5094,21.5032,21.4818,‘This Takes Away All Hope’: Rule Bars Most Applicants for Asylum in U.S.,AMERICAS,https://www.nytimes.com/2019/09/12/world/americas/asylum-seekers.html?searchResultPosition=1,0,0,0,0,0
13/09/2019,37.65,39.4,215.19K,"8,176.71","8,190.57",495.64M,"3,007.39","1,578.14","1,579.23",19.4058,19.4395,21.4919,21.5051,"Bahamas says undocumented Haitians are safe, for now",AMERICAS,https://www.nytimes.com/2019/09/13/world/americas/bahamas-dorian-haitians.html?searchResultPosition=1,0,0,0,0,0
16/09/2019,null,null,null,"8,153.54","8,121.64",483.84M,"2,997.96","1,584.60","1,574.73",19.4405,19.4155,21.3883,21.5066,Who Was Behind the Saudi Oil Attack? What Evidence Shows,MIDDLE EAST,https://www.nytimes.com/interactive/2019/09/16/world/middleeast/trump-saudi-arabia-oil-attack.html?searchResultPosition=1,0,0,0,0,0
17/09/2019,37.46,41.73,2.28M,"8,186.02","8,148.65",471.62M,"3,005.70","1,578.29","1,582.37",19.3627,19.4405,21.4394,21.3875,Spain Heads to 4th Election in 4 Years After Failure to Form Government,EUROPE,https://www.nytimes.com/2019/09/17/world/europe/spain-election-government-collapse.html?searchResultPosition=1,0,0,0,0,0
18/09/2019,36.95,43.25,1.15M,"8,177.39","8,174.62",542.24M,"3,006.73","1,568.34","1,577.55",19.3975,19.3591,21.3955,21.4383,Justin Trudeau Says He Is ‘Deeply Sorry’ After Brownface Photo Surfaces,CANADA,https://www.nytimes.com/2019/09/18/world/canada/trudeau-brownface.html?searchResultPosition=1,0,0,0,0,0
