estado,municipio,cve_inegi,id_estado,id_municipio,hombres,mujeres,total
Veracruz de Ignacio de la Llave,Acajete,30001,30,1,4422,4397,8819
Veracruz de Ignacio de la Llave,Acatlán,30002,30,2,1544,1603,3147
Veracruz de Ignacio de la Llave,Acayucan,30003,30,3,41772,45495,87267
Veracruz de Ignacio de la Llave,Actopan,30004,30,4,21287,22101,43388
Veracruz de Ignacio de la Llave,Acula,30005,30,5,2674,2676,5350
Veracruz de Ignacio de la Llave,Acultzingo,30006,30,6,11169,11800,22969
Veracruz de Ignacio de la Llave,Camarón de Tejeda,30007,30,7,3202,3224,6426
Veracruz de Ignacio de la Llave,Alpatláhuac,30008,30,8,5037,5152,10189
Veracruz de Ignacio de la Llave,Alto Lucero de Gutiérrez Barrios,30009,30,9,14395,14527,28922
Veracruz de Ignacio de la Llave,Altotonga,30010,30,10,31417,34131,65548
Veracruz de Ignacio de la Llave,Alvarado,30011,30,11,25983,26944,52927
Veracruz de Ignacio de la Llave,Amatitlán,30012,30,12,3896,4091,7987
Veracruz de Ignacio de la Llave,Naranjos Amatlán,30013,30,13,13338,14957,28295
Veracruz de Ignacio de la Llave,Amatlán de los Reyes,30014,30,14,21486,23944,45430
Veracruz de Ignacio de la Llave,Angel R. Cabada,30015,30,15,16309,17421,33730
Veracruz de Ignacio de la Llave,La Antigua,30016,30,16,12875,14045,26920
Veracruz de Ignacio de la Llave,Apazapan,30017,30,17,1992,2017,4009
Veracruz de Ignacio de la Llave,Aquila,30018,30,18,925,999,1924
Veracruz de Ignacio de la Llave,Astacinga,30019,30,19,3095,3439,6534
Veracruz de Ignacio de la Llave,Atlahuilco,30020,30,20,5328,5605,10933
Veracruz de Ignacio de la Llave,Atoyac,30021,30,21,11665,12231,23896
Veracruz de Ignacio de la Llave,Atzacan,30022,30,22,10378,10982,21360
Veracruz de Ignacio de la Llave,Atzalan,30023,30,23,25019,25854,50873
Veracruz de Ignacio de la Llave,Tlaltetela,30024,30,24,7977,7841,15818
Veracruz de Ignacio de la Llave,Ayahualulco,30025,30,25,13046,13648,26694
Veracruz de Ignacio de la Llave,Banderilla,30026,30,26,11786,13036,24822
Veracruz de Ignacio de la Llave,Benito Juárez,30027,30,27,8544,9074,17618
Veracruz de Ignacio de la Llave,Boca del Río,30028,30,28,66717,75490,142207
Veracruz de Ignacio de la Llave,Calcahualco,30029,30,29,6367,6562,12929
Veracruz de Ignacio de la Llave,Camerino Z. Mendoza,30030,30,30,19675,22672,42347
Veracruz de Ignacio de la Llave,Carrillo Puerto,30031,30,31,8357,8639,16996
Veracruz de Ignacio de la Llave,Catemaco,30032,30,32,23782,25869,49651
Veracruz de Ignacio de la Llave,Cazones de Herrera,30033,30,33,11340,12335,23675
Veracruz de Ignacio de la Llave,Cerro Azul,30034,30,34,12578,14229,26807
Veracruz de Ignacio de la Llave,Citlaltépetl,30035,30,35,5843,6266,12109
Veracruz de Ignacio de la Llave,Coacoatzintla,30036,30,36,5066,5416,10482
Veracruz de Ignacio de la Llave,Coahuitlán,30037,30,37,4123,4443,8566
Veracruz de Ignacio de la Llave,Coatepec,30038,30,38,43901,48226,92127
